date,temp_mean,temp_min,temp_max,feels_like_mean,feels_like_min,feels_like_max,humidity_mean,wind_speed_mean,wind_speed_max,rain_sum,snow_sum,weather_main,weather_description,weather_icon
2021-09-03,82.14708333333334,76.46,88.45,85.92291666666665,78.04,95.95,76.20833333333333,3.3825000000000003,NaN,0.88,0,Clouds,sky is clear,02n
2021-09-04,82.84541666666667,76.26,89.55,86.08333333333333,77.45,96.37,68.08333333333333,3.9920833333333348,NaN,0,0,Clouds,overcast clouds,04n
2021-09-05,82.69458333333334,76.53,88.61,86.70541666666668,78.03,96.69,71.75,3.189583333333333,NaN,0.22,0,Clear,sky is clear,01n
2021-09-06,80.96208333333334,78.67,83.86,84.4025,78.76,92.08,79.83333333333333,3.607916666666666,NaN,3.03,0,Clear,sky is clear,01n
2021-09-07,80.76416666666667,76.91,87.06,85.49708333333332,78.48,99.14,82.08333333333333,2.4375,NaN,9.799999999999999,0,Rain,light rain,10d
2021-09-08,80.29666666666667,77.52,83.95,83.62999999999998,78.75,90.68,81.5,2.18125,NaN,7.33,0,Clouds,overcast clouds,10d
2021-09-09,80.62708333333332,75.79,86.45,82.89125,77.16,89.06,71.91666666666667,4.395416666666667,NaN,0.4,0,Clouds,overcast clouds,04n
2021-09-10,77.81958333333334,71.62,83.44,77.84208333333333,71.82,83.35,54.416666666666664,3.4987499999999994,14,0,0,Clear,sky is clear,01d
2021-09-11,77.17999999999999,69.76,84.04,77.71166666666667,69.82,85.62,59.458333333333336,3.6745833333333326,NaN,0,0,Clear,sky is clear,01d
2021-09-12,78.68166666666667,76.6,81.66,81.24958333333333,77.95,88.45,82.375,3.6958333333333333,NaN,10.43,0,Clouds,light rain,10d
2021-09-13,79.93791666666667,75.87,86.61,84.035,77.34,97.93,83.29166666666667,2.9749999999999996,NaN,1.07,0,Clouds,overcast clouds,04d
2021-09-14,78.35208333333334,75.52,81.7,81.23958333333333,77.23,88.21,91.04166666666667,2.4145833333333333,13,44.160000000000004,0,Rain,moderate rain,10d
2021-09-15,77.70375,75.52,81.28,80.41708333333334,77.05,88.84,92.16666666666667,4.057916666666666,NaN,75.31999999999998,0,Rain,moderate rain,10d
2021-09-16,80.55874999999999,76.95,86.05,85.20166666666667,78.76,98.2,87.79166666666667,3.0691666666666664,NaN,2.8899999999999997,0,Clouds,light rain,04d
2021-09-17,79.46916666666665,78.19,81.61,81.75250000000001,78.73,87.69,88.41666666666667,4.382499999999999,NaN,26.01,0,Rain,light rain,10d
2021-09-18,78.83624999999999,76.06,82.74,81.55833333333332,77.83,90.86,88.54166666666667,4.2091666666666665,NaN,2.46,0,Rain,light rain,10d
2021-09-19,79.03625000000001,75.29,83.25,82.63625,77.04,94.01,87.375,2.8016666666666676,NaN,14.450000000000001,0,Clouds,light rain,10d
2021-09-20,79.68833333333335,75.58,85.89,83.30083333333334,77.31,93.31,83.95833333333333,3.5254166666666666,NaN,3.38,0,Rain,light rain,10d
2021-09-21,80.74541666666666,76.26,86.45,85.41458333333334,78.06,98.92,83.54166666666667,3.7362500000000005,NaN,0.63,0,Clouds,few clouds,02n
2021-09-22,77.14083333333332,73.74,80.85,78.17249999999999,74.53,86.29,76.83333333333333,5.182083333333333,NaN,0.21,0,Clouds,broken clouds,04d
2021-09-23,71.07875000000003,64.85,76.14,70.58416666666666,64.47,75.7,57.458333333333336,4.126250000000001,21.99,0,0,Clear,sky is clear,01d
2021-09-24,73.03375000000001,63.57,84.97,72.78041666666667,63.1,85.28,57.791666666666664,3.1220833333333338,11.01,0,0,Clear,sky is clear,01n
2021-09-25,72.67791666666668,62.98,83.98,72.58166666666666,62.78,84.24,62.291666666666664,3.48875,NaN,0,0,Clear,sky is clear,01n
2021-09-26,74.24833333333335,61.99,86.99,74.875,62.17,88.18,67.5,3.08,NaN,0,0,Clear,sky is clear,01d
2021-09-27,76.8575,67.98,88.99,80.54041666666664,68.85,98.55,79.45833333333333,3.4370833333333337,NaN,0,0,Clouds,sky is clear,04d
2021-09-28,78.44833333333335,74.39,86.99,81.09333333333333,75.85,99.59,88.20833333333333,3.1425,NaN,15.27,0,Rain,overcast clouds,10d
2021-09-29,73.28500000000001,65.98,80.98,75.04416666666668,66.61,86.2,91.29166666666667,5.934999999999999,NaN,46.81999999999999,0,Rain,moderate rain,10d
2021-09-30,76.93458333333334,70.99,89.98,79.92,72.16,102.58,87.25,2.81,NaN,13.81,0,Clouds,light rain,04d
2021-10-01,74.60458333333334,70.99,78.98,76.06791666666666,72.1,78.98,93.16666666666667,3.202083333333333,NaN,59.89000000000001,0,Rain,overcast clouds,10d
2021-10-02,75.49208333333334,70.99,84.97,78.65916666666668,72.1,95.43,88.58333333333333,2.8904166666666673,NaN,24.860000000000003,0,Clouds,overcast clouds,04n
2021-10-03,77.86458333333334,70.99,87.98,81.40791666666667,72.25,98.55,86.375,2.4212499999999997,NaN,13.920000000000002,0,Rain,light rain,10n
